Reporting period,Implementing Agency,Lead Organization,Org Type,District,Sub Dstrict,Village,Admin Level 5,Sector/Cluster,Sub Sector,Status,Activity Details,Start Date,End Date,Total Beneficiaries Reached (HOUSEHOLD),Total Beneficiaries Planned (HOUSEHOLD),Primary Beneficiary Type,# of Primary Beneficiaries,Activity Description,Material Provided
07 Nov -13 Nov 2018,MoH,,Government,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, Kel. Tinggede, Kec. Marawola, sigi",Health,Health,Completed,Medical servicee,43388,43388,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH,,Government,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, Kel. Tinggede, Kec. Marawola, sigi",Health,Health,Completed,Medical servicee,43393,43393,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH,,Government,Sigi,Kulawi,Kulawi,Pos Utama Kulawi Kec. Kulawi,Health,Health,Completed,Medical servicee,43381,43381,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KM Tenggara,,Government,Sigi,Kulawi,Bolapapu,"Pos Pelayanan Bolapapu, Kec. Kulawi",Health,Health,Completed,Medical servicee,43387,43387,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KM Tenggara,,Government,Sigi,Kulawi,Lapangan Desa Bolapapu,Lapangan Desa Bolapapu,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Tipo,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Ulujadi,Tipo,Puskesmas Tipo,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Pantoloan,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,,,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Tawaeli,Puskesmas Tawaeli,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Tawaeli,Puskesmas Tawaeli,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Tawaeli,Puskesmas Tawaeli,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Tawaeli,Puskesmas Tawaeli,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Tawaeli,Puskesmas Tawaeli,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Tawaeli,Puskesmas Tawaeli,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tawaeli,Pantoloan,Puskesmas Pantoloan,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,,,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Pengawu,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Pengawu,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Duyu,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Duyu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Duyu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Duyu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Duyu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Tipo,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Duyu,Puskesmas Sangurara,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Tatanga,Pengawu,Puskesmas Nosarara,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Mamboro,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Utara,Mamboro,Puskesmas Mamboro,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu Timur,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu Timur,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu Timur,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu Timur,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu Timur,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Timur,Besusu,Puskesmas Singgani,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Birobuli,Puskesmas Birobuli,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskemas Bulili,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Birobuli,Puskesmas Birobuli,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,,Puskesmas Mabelopura,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Birobuli,Puskesmas Birobuli,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,,Puskesmas Mabelopura,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Birobuli,Puskesmas Birobuli,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Birobuli,Puskesmas Birobuli,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,,Puskesmas Mabelopura,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Petobo,Puskesmas Bulili,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Selatan,Birobuli,Puskesmas Birobuli,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Kamonji,Kamonji,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Siranindi,Puskesmas Kamonji,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Siranindi,Puskesmas Kamonji,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Kamonji,Puskesmas Kamonji,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Kamonji,Puskesmas Kamonji,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Kamonji,Puskesmas Kamonji,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Palu Barat,Kamonji,Puskesmas Kamonji,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Talise,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Kawatuna,Kawatuna,Health,Health,Completed,Medical servicee,43388,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43385,43385,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Kawatuna,Puskesmas Kawatuna,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Kaeatuna,Puskesmas Kawatuna,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Kawatuna,Puskesmas Kawatuna,Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-KP,,Government,Palu,Mantikulore,Talise,Puskesmas Talise,Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Donggala,Marawola,Tinggede,"Puskesmas Tinggede, Kelurahan Tinggede, Kec. Marawola",Health,Health,Completed,Medical servicee,43391,43391,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Donggala,Marawola,Tinggede,"Puskesmas Tinggede, Kelurahan Tinggede, Kec. Marawola",Health,Health,Completed,Medical servicee,43392,43392,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Sigi,Marawola,Tinggede,Tinggede,Health,Health,Completed,Medical servicee,43386,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Sigi,Marawola,Binangga,Binangga,Health,Health,Completed,Medical servicee,43386,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, desa Tinggede, Kec. Marawola, Sigi",Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, Kel. Tinggede, Kec. Marawola, sigi",Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, Kel. Tinggede, Kec. Marawola, Sigi",Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM,,Government,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, Kel. Tinggede, Kec. Marawola, sigi",Health,Health,Completed,Medical servicee,43393,43393,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM Baluase,,Government,Sigi,Dolo Selatan,Wisolo,"Pusling Desa Wiloso, Kec. Dolo Selatan",Health,Health,Completed,Medical servicee,43383,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM Baluase,,Government,Sigi,Dolo Selatan,Bangga,"Desa Bangga, Dolo Selatan",Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM DOLO INDUK,,Government,Sigi,Dolo,Tulo,"Desa Tulo, Dusun Pincara, Kec. Dolo",Health,Health,Completed,Medical servicee,43387,43387,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM Kaleke,,Government,Sigi,Dolo Barat,Rarapadende,"Desa Rarampadende, Kec. Dolo Barat, Moelyono",Health,Health,Completed,Medical servicee,43386,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM Nosarara,,Government,Palu,Tatanga,"Pkm Nosarara, Kel. Pengawu","Pkm Nosarara, Kel. Pengawu",Health,Health,Completed,Medical servicee,43393,43393,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM Nosarara,,Government,Palu,Tatanga,"Pkm Nosarara Ke. Pengawu, Kec. Tatanga","Pkm Nosarara Ke. Pengawu, Kec. Tatanga",Health,Health,Completed,Medical servicee,43393,43393,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM SIGI,,Government,Sigi,Gumbasa,Desa Tuva,"Desa Tuva, Gumbasa",Health,Health,Completed,Medical servicee,43386,43386,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM.BIROMARU,,Government,Sigi,Sigi Biromaru,Mpanau,Mpanau,Health,Health,Completed,Medical servicee,43386,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM.BIROMARU,,Government,Sigi,Sigi Biromaru,Biromaru,Pkm Biromaru,Health,Health,Completed,Medical servicee,43384,43384,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM.BIROMARU,,Government,Sigi,Sigi Biromaru,Biromaru,"Puskesmas Biromaru, Sigi",Health,Health,Completed,Medical servicee,43387,43387,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,MoH-PKM.Tanambulava,,Government,Sigi,Tanambulava,,"Pkm Kamaipura, Kec Tanambulava",Health,Health,Completed,Medical servicee,43384,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,Pemkot Surabaya,,Government,Palu,Palu Utara,Mamboro,SMPN 18 Palu,Education,TLS,Completed,TLS Set up,43382,,,,Children,,,
07 Nov -13 Nov 2018,Pemkot Surabaya,,Government,Palu,Palu Selatan,Birobuli Selatan,SMPN 6 Palu,Education,TLS,Completed,TLS Set up,43382,,,,Children,,,
07 Nov -13 Nov 2018,Church World Service(CWS)/LSM Dangau,,International NGOs,Palu,Tatanga,Palupi,BTN Palupi RT 01/RW 03,WASH,Water supply,Ongoing,Water distribution,43383,43464,,,general population,87 HH/522 people,,
07 Nov -13 Nov 2018,Church World Service(CWS)/LSM Dangau,,International NGOs,Palu,Tatanga,Duyu,BTN Duyu RT 02/RW 02,WASH,Water supply,Ongoing,Water distribution,43383,43464,,,general population,"288 HH/2,600 people",,
07 Nov -13 Nov 2018,Church World Service(CWS)/LSM Dangau,,International NGOs,Sigi,Sigi Biromaru,Sidera,Camp site of Sidera village,WASH,Hygiene Promotion,Completed,hygiene items distribution,43388,43388,,,general population,55 HH/192 people,,
07 Nov -13 Nov 2018,Church World Service(CWS)/LSM Dangau,,International NGOs,Sigi,Sigi Biromaru,Pombewe,"Camp site of Jono Oge village, 
 Lapangan Pombewe 
 (0Â°58'47.5""S 119Â°55'56.1""E)",WASH,Water supply,Ongoing,Water distribution,43378,43464,,,general population,125 HH/625 people,,
07 Nov -13 Nov 2018,Church World Service(CWS)/LSM Dangau,,International NGOs,Sigi,Sigi Biromaru,Loru,"Camp Loru - Pertigaan/T-junction (0Â°57'40.9""S 119Â°56'52.4""E)",WASH,Water supply,Ongoing,Water distribution,43378,43464,,,general population,240 HH/557 people,,
