Reporting period,Implementing Agency,Lead Organization,Org Type,District,Sub Dstrict,Village,Admin Level 5,Sector/Cluster,Sub Sector,Status,Activity Details,Start Date,End Date,Total Beneficiaries Reached (HOUSEHOLD),Total Beneficiaries Planned (HOUSEHOLD),Primary Beneficiary Type,# of Primary Beneficiaries,Activity Description,Material Provided
14 Nov - 26 Nov 2018,HHI,,National NGOs,Donggala,Balaesang,Balaesang Tanjung,Depth Assessment,WASH,Hygiene ,Unknown,,,,,,,,,
14 Nov - 26 Nov 2018,YBT,,National NGOs,Donggala,Balaesang,Loli Tasiburi,IDPS yang kembali ke desa,WASH,Sanitation,Unknown,,,,,,,,,
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,Lombonga,Kamp Lomboga,WASH,Hygiene ,Unknown,,,,,,,,,
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,Lombonga,Kamp Lomboga,WASH,Hygiene ,Unknown,,,,,,,,,
14 Nov - 26 Nov 2018,YSTC,KEMENSOS RI/DINAS SOSIAL,National NGOs,Donggala,Balaesang,Lombonga,Gunung Jati,Protection,Psychosocial Support,Ongoing,PSYCHOSOCIAL SERVICES,Oct-26-2018,,,,Children,66,,"RECREATIONAL ACTIVITIES, CHILDREN SERVICE"
14 Nov - 26 Nov 2018,PUPR,PUPR,Government,Donggala,Balaesang,LABEAN,Lapangan Sepak Bola,NFI/Shelter,Transitional,Unknown,,,,,180,,,,10 Units
14 Nov - 26 Nov 2018,IOM,,UN Agencies,Donggala,Balaesang,LAMBONGA,,NFI/Shelter,Emergency,Completed,,Oct-23-2118,Oct-23-2018,150,150,,,,
14 Nov - 26 Nov 2018,IOM/BPBD,,UN Agencies,Donggala,Balaesang,LOMBONGA,,NFI/Shelter,Emergency,Completed,,Nov-06-2018,Nov-06-2018,150,150,,,,
14 Nov - 26 Nov 2018,YSTC,YSTC,National NGOs,Donggala,Balaesang,LOMBONGA,KAMP LOMBOGA,NFI/Shelter,Emergency,Completed,,Oct-17-2018,Oct-17-2018,150,150,,,,
14 Nov - 26 Nov 2018,IF,,National NGOs,Donggala,Balaesang,Lombonga,,Nutrition,IYCF-E,Planned,Training IYCF,,,,,Community Workers,,,
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,,,Nutrition,IYCF-E,Ongoing,Training IYCF,Sep-28-2018,Dec-31-2018,,,Health and Community Workers,,,
14 Nov - 26 Nov 2018,JMK OXFAM,JMK,National NGOs,Donggala,Balaesang,Labean,,MultiCluster,Cash For Work,Ongoing,"Debris clearing, clean water pipeline instalation, reactivated public service (health center, health clinic, public facilities, community health center), temporary income for livelihood support",,,,,household ,,,"Cleaning Kit  and Personal Equipment (Mask, Glove and Rubber Boot"
14 Nov - 26 Nov 2018,MB,,National NGOs,Donggala,Balaesang,Labean,desa labean dusun 1,Health,Health,Completed,Medical Service,Oct-27-2018,,,,IDP and Affected Population,68,,Medical Clinic
14 Nov - 26 Nov 2018,MB,,National NGOs,Donggala,Balaesang,Labean,desa labean dusun 7,Health,Health,Completed,Medical Service,Oct-27-2018,,,,IDP and Affected Population,147,,Medical Clinic
14 Nov - 26 Nov 2018,DTSI,,National NGOs,Donggala,Balaesang,Labean,Desa Labean,Health,Health,Completed,Medical Service,Oct-30-2018,,,,IDP and Affected Population,43,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Tambu,PKM Tambu,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,12,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Labean,Pustu Labean,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,229,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Sibayu,Pustu Sibayu,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,25,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Meli,Puskesdes Meli,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,7,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Lombonga,Puskesdes Lombonga,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,23,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Sipure,Puskesdes Sipure,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,11,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Tambu,PKM tambu,Health,Health,Completed,Medical Service,Nov-09-2018,,,,IDP and Affected Population,32,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Meli,Poskesdes Meli,Health,Health,Completed,Medical Service,Nov-09-2018,,,,IDP and Affected Population,4,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Sipure,Poskesdes Sipure,Health,Health,Completed,Medical Service,Nov-09-2018,,,,IDP and Affected Population,2,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Tambu,PKM Tambu,Health,Health,Completed,Medical Service,Nov-10-2018,,,,IDP and Affected Population,10,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Labean,Pustu Labean,Health,Health,Completed,Medical Service,Nov-10-2018,,,,IDP and Affected Population,9,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Sipure,poskesdes Sipure,Health,Health,Completed,Medical Service,Nov-10-2018,,,,IDP and Affected Population,2,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Meli,Poskesdes meli,Health,Health,Completed,Medical Service,Nov-10-2018,,,,IDP and Affected Population,6,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Mapane Tambu,Poskesdes Mapane,Health,Health,Completed,Medical Service,Nov-10-2018,,,,IDP and Affected Population,1,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Malino,Poskesdes malino,Health,Health,Completed,Medical Service,Nov-10-2018,,,,IDP and Affected Population,6,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Labean,Pustu Lebean,Health,Health,Completed,Medical Service,Nov-11-2018,,,,IDP and Affected Population,16,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Sibayu,Pustu Sibayu,Health,Health,Completed,Medical Service,Nov-11-2018,,,,IDP and Affected Population,13,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Meli,Poskesdes Meli,Health,Health,Completed,Medical Service,Nov-11-2018,,,,IDP and Affected Population,12,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Sipure,Poskesdes Sipure,Health,Health,Completed,Medical Service,Nov-11-2018,,,,IDP and Affected Population,17,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang,Malino,Poskesdes Malino,Health,Health,Completed,Medical Service,Nov-11-2018,,,,IDP and Affected Population,10,,Medical Clinic
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Labean,SDN 23 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Labean,SDN 24 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Mapane Tambu,SDN 28 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Tambu,SDN 7 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Tambu,SMAN 1 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Labean,SMAN 2 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Sibayu,SMAN 3 Balaesang,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,lombonga,SMPN 4 BALAESANG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Malei,SDN 11 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Palau,SDN 1O BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Rano,SDN 2 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Pomolulu,SDN 4 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Walandano,SDN 5 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Ketong,SDN 8 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Manimbaya,SDN 9 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Walandano,SMPN  Satap 3 Balaesang Tanjung,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,Malei,SMPN 1 Balaesang Tanjung,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,UNICEF,,UN Agencies,Donggala,Balaesang,PALAU,SMPN SATAP 6 BALAESANG TANJUNG,Education,Temporary Learning Space ,Completed,,Oct-19-2018,,,,,,,
14 Nov - 26 Nov 2018,Imunitas,UNDP,National NGOs,Donggala,Balaesang,Labean,,Early Recovery,Multicluster,Planned,Debris Clearance,Dec-01-2018,Jan-15-2019,,,Households,200,,Tools / PPE / Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Lombonga,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Labean,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Meli,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Tambu,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Siweli,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Sibualong,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Sibayu,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Malino,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Mapane Tambu,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Tovia Tambu,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Simagaya,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Sipure,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,BNPB/BPBD/BAPPEDA,UNDP,Government,Donggala,Balaesang,Kampung Baru Sibayu,,Early Recovery,,Ongoing,JITUPASNA,Nov-01-2018,Dec-31-2018,,,Organization,100,,Technical Support
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,Lombonga,Kamp Lomboga,Protection,Child Protection,Ongoing,PFA & PSS activities (set up CFS),Oct-08-2018,,,,Children,50,,PFA & PSS activities (set up CFS)
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,Labonga,Labonga balaesang,Protection,Child Protection,Ongoing,PFA activities (set up CFS),Oct-24-2018,,,,Children,,,PFA activities (set up CFS)
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,Lombonga,Posko Gunung Jati,Protection,Child Protection,Ongoing,"PFA & PSS,  CFS activities (Set up CFS)",Oct-25-2018,,,,Children,,,"PFA & PSS,  CFS activities (Set up CFS)"
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang,Labonga balaesang,Labonga,Protection,Child Protection,Ongoing,PFA activities (set up CFS),Oct-26-2018,,,,Children,,,PFA activities (set up CFS)
14 Nov - 26 Nov 2018,YIBU,,National NGOs,Sigi,Balaesang,Lombonga,,Protection,Psychosocial support,Ongoing,Psychosocial for kid and families,Nov-01-2018,Apr-01-2019,,,person,,,Psychosocial assitance 
14 Nov - 26 Nov 2018,Yayasan INANTA,CWS/Y-INANTA,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-17-2018,Oct-17-2018,225,,,,,temporary shelter kits - USAID tarpaulins (450) 2 tarps/HH
14 Nov - 26 Nov 2018,Yayasan INANTA,CWS/Y-INANTA,National NGOs,Donggala,Balaesang Tanjung,RANO B,,NFI/Shelter,Emergency,Completed,,Oct-18-2018,Oct-18-2018,70,,,,,temporary shelter kits - USAID tarpaulins (140) 2 tarps/HH
14 Nov - 26 Nov 2018,Yayasan INANTA,CWS/Y-INANTA,National NGOs,Donggala,Balaesang Tanjung,POMOLULU,,NFI/Shelter,Emergency,Completed,,Oct-18-2018,Oct-18-2018,142,,,,,temporary shelter kits - USAID tarpaulins (284) 2 tarps/HH
14 Nov - 26 Nov 2018,Yayasan INANTA,CWS/Y-INANTA,National NGOs,Donggala,Balaesang Tanjung,PALAU,,NFI/Shelter,Emergency,Completed,,Oct-18-2018,Oct-18-2018,91,,,,,temporary shelter kits - USAID tarpaulins (182) 2 tarps/HH
14 Nov - 26 Nov 2018,Yayasan INANTA,CWS/Y-INANTA,National NGOs,Donggala,Balaesang Tanjung,MANIMBAYA,,NFI/Shelter,Emergency,Completed,,Oct-18-2018,Oct-18-2018,28,,,,,temporary shelter kits - USAID tarpaulins (56) 2 tarps/HH
14 Nov - 26 Nov 2018,MDS/Perkantas,GIA Korea,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,Dusun 3,NFI/Shelter,Transitional,Unknown,,Nov-01-2018,,30,274,,,,Bahan bangunan dan kelengkapannya
14 Nov - 26 Nov 2018,WVI,UNHCR,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-27-2018,Oct-27-2018,283,283,,,,Family Tent
14 Nov - 26 Nov 2018,WVI,DMFA,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-27-2018,Oct-27-2018,286,286,,,,Tarpaulin
14 Nov - 26 Nov 2018,WVI,DMFA,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-27-2018,Oct-27-2018,286,286,,,,"Plastic Mat, Blanket, Sheets, Solar Lantern, Zip Plastic Bag, Sack"
14 Nov - 26 Nov 2018,WVI,DMFA,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-27-2018,Oct-27-2018,286,286,,,,Tarpaulin
14 Nov - 26 Nov 2018,WVI,DMFA,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-27-2018,Oct-27-2018,286,286,,,,"Plastic Mat, Blanket, Sheets, Solar Lantern, Zip Plastic Bag, Sack"
14 Nov - 26 Nov 2018,WVI,UNHCR,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,,NFI/Shelter,Emergency,Completed,,Oct-27-2018,Oct-27-2018,577,577,,,,Tarpaulin (4 tarpaulin untuk 1 HH)
14 Nov - 26 Nov 2018,YSTC,YSTC,National NGOs,Donggala,Balaesang Tanjung,PALAU,DESA PALAU,NFI/Shelter,Emergency,Completed,,Oct-19-2018,Oct-19-2018,240,240,,,,
14 Nov - 26 Nov 2018,YSTC,YSTC,National NGOs,Donggala,Balaesang Tanjung,POMOLULU,POMOLULU,NFI/Shelter,Emergency,Completed,,Oct-22-2018,Oct-22-2018,408,408,,,,
14 Nov - 26 Nov 2018,YSTC,YSTC,National NGOs,Donggala,Balaesang Tanjung,MANIMBAYA,POSKO MANIMBAYA,NFI/Shelter,Emergency,Completed,,Oct-08-2018,Oct-08-2018,291,291,,,,
14 Nov - 26 Nov 2018,YSTC,YSTC,National NGOs,Donggala,Balaesang Tanjung,WALANDANO,POSKO WALANDANO,NFI/Shelter,Emergency,Completed,,Oct-08-2018,Oct-08-2018,287,287,,,,
14 Nov - 26 Nov 2018,JMK OXFAM,JMK,National NGOs,Donggala,Balaesang Tanjung,Ketong,,MultiCluster,Cash For Work,Ongoing,"Debris clearing, clean water pipeline instalation, reactivated public service (health center, health clinic, public facilities, community health center), temporary income for livelihood support",,,,,household ,,,"Cleaning Kit  and Personal Equipment (Mask, Glove and Rubber Boot"
14 Nov - 26 Nov 2018,JMK OXFAM,JMK,National NGOs,Donggala,Balaesang Tanjung,Kamonji,,MultiCluster,Cash For Work,Ongoing,"Debris clearing, clean water pipeline instalation, reactivated public service (health center, health clinic, public facilities, community health center), temporary income for livelihood support",,,,,household ,,,"Cleaning Kit  and Personal Equipment (Mask, Glove and Rubber Boot"
14 Nov - 26 Nov 2018,JMK OXFAM,JMK,National NGOs,Donggala,Balaesang Tanjung,Malei,,MultiCluster,Cash For Work,Ongoing,"Debris clearing, clean water pipeline instalation, reactivated public service (health center, health clinic, public facilities, community health center), temporary income for livelihood support",,,,,household ,,,"Cleaning Kit  and Personal Equipment (Mask, Glove and Rubber Boot"
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang Tanjung,Manimbaya,Posko Manimbaya,Health,Health,Completed,Distribution of Mosquito net,Oct-19-2018,Oct-19-2018,,,Households,291,,Distribution of Mosquito net
14 Nov - 26 Nov 2018,YSTC,,National NGOs,Donggala,Balaesang Tanjung,Walandano,Posko Walandano,Health,Health,Completed,Distribution of Mosquito net,Oct-19-2018,Oct-19-2018,,,Households,287,,Distribution of Mosquito net
14 Nov - 26 Nov 2018,DTSI,,National NGOs,Donggala,Balaesang Tanjung,Kamonji,Desa Kamonji dusun 3,Health,Health,Completed,Medical Service,Oct-29-2018,,,,IDP and Affected Population,139,,Medical Clinic
14 Nov - 26 Nov 2018,HOPE,,National NGOs,Palu,Balaesang Tanjung,Kamonji,Mesjid Agung,Health,Health,Completed,Medical Service,Oct-26-2018,,,,IDP and Affected Population,18,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang Tanjung,Pomolulu,Desa Pomolulu,Health,Health,Completed,Medical Service,Nov-07-2018,,,,IDP and Affected Population,116,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang Tanjung,Malei,PKM Malei,Health,Health,Completed,Medical Service,Nov-08-2018,,,,IDP and Affected Population,17,,Medical Clinic
14 Nov - 26 Nov 2018,MoH/PKM,MoH,Government,Donggala,Balaesang Tanjung,Malei,PKM malei,Health,Health,Completed,Medical Service,Nov-09-2018,,,,IDP and Affected Population,12,,Medical Clinic
