Country,Who,What,Category,Source
Haiti,American Red Cross,Activation of all Community Intervention Teams and a community unit created by the Haitian and the American Red Cross named Neighborhood Table (Table des Quartiers (TdQs) in French),Activation of Community Intervention Teams,RCRCM Sit Rep 1
Haiti,American Red Cross,"On Wednesday October 5th, Coordination with all HRC/ARC partners to make sure any eventual formal evaluations or distributions are done evenly throughout Canaan. Mercy Corps, Habitat for Humanity, Terre des Hommes, IOM, UN Habitat have all been contacted.",Emergency response planning,RCRCM Sit Rep 1
Haiti,American Red Cross,Deployment of ARC program assistant to support HRC Humanitarian and Diplomacy Coordinator in reporting and communication management.,Deployment of communication expert,RCRCM Sit Rep 1
Haiti,Concern Worldwide,Appui à l'évaluation rapide et réponse,Damage Assessment and Evaluation,OCHA Haiti 9/10/16
Haiti,Catholic Relief Services,Evalation des abris( NORD) ( evaluation sur le terrain),Damage Assessment and Evaluation,OCHA Haiti 9/10/16
Haiti,Catholic Relief Services,Evalation des abris SUD ( evaluation sur le terrain),Damage Assessment and Evaluation,OCHA Haiti 9/10/16
Haiti,MSF,Equipe de réponse mobile,Deployment of response team,OCHA Haiti 9/10/16
Haiti,IOM,Gestion logistique et NFI,logistics management and NFI,OCHA Haiti 9/10/16
Haiti,IOM,Appui a la coordination et a la reponse,Support for coordination and response,OCHA Haiti 9/10/16
Haiti,IOM,Appui au abris d evacuation,Provision of shelter for IDPs,OCHA Haiti 9/10/16
Haiti,IOM,Gestion logistique et NFI,logistics management and NFI,OCHA Haiti 9/10/16
Haiti,IOM,Gestion logistique et NFI,logistics management and NFI,OCHA Haiti 9/10/16
Haiti,OPS/OMS,Appui a la coordination de la preparation et reponse aux besoins du secteur sante,Emergency response planning,OCHA Haiti 9/10/16
Haiti,OPS/OMS,Appui a la coordination de la preparation et reponse aux besoins du secteur sante,Emergency response planning,OCHA Haiti 9/10/16
Haiti,Action Secours Ambulance,Disaster Response Team,Deployment of response team,OCHA Haiti 9/10/16
Haiti,MSF,"coordinatrice médicale, centre des brûlés.",Provision of Medical services,OCHA Haiti 9/10/16
Haiti,MSF,Equipe de réponse mobile,Deployment of response team,OCHA Haiti 9/10/16
Haiti,St Boniface Haiti Foundation,Soins medicale,Provision of Medical services,OCHA Haiti 9/10/16
Haiti,Médecins du Monde,Appui à la réponse et l'évaluation rapide.,Damage Assessment and Evaluation,OCHA Haiti 9/10/16
Haiti,Médecins du Monde,Appui à la réponse et l'évaluation rapide.,Damage Assessment and Evaluation,OCHA Haiti 9/10/16
